Year,County Name,Population
2003,Richmond,2845
2003,Richmond,2748
2003,Richmond,6259
2003,Richmond,32290
2003,Richmond,20268
2003,Richmond,3562
2003,Richmond,2708
2003,Richmond,5752
2003,Richmond,74624
2003,Richmond,50240
2003,Richmond,7843
2003,Richmond,5588
2003,Richmond,10953
2003,Richmond,36641
2003,Richmond,25044
2003,Richmond,3473
2003,Richmond,2725
2003,Richmond,5399
2003,Richmond,37983
2003,Richmond,25196
2003,Richmond,4370
2003,Richmond,2863
2003,Richmond,5554
2003,Richmond,66917
2003,Richmond,49128
2003,Richmond,5599
2003,Richmond,5204
2003,Richmond,6986
2003,Richmond,32083
2003,Richmond,23607
2003,Richmond,2593
2003,Richmond,2580
2003,Richmond,3303
2003,Richmond,34834
2003,Richmond,25521
2003,Richmond,3006
2003,Richmond,2624
2003,Richmond,3683
2003,Richmond,48205
2003,Richmond,38273
2003,Richmond,2995
2003,Richmond,3287
2003,Richmond,3650
2003,Richmond,22804
2003,Richmond,18247
2003,Richmond,1236
2003,Richmond,1626
2003,Richmond,1695
2003,Richmond,25401
2003,Richmond,20026
2003,Richmond,1759
2003,Richmond,1661
2003,Richmond,1955
2003,Richmond,28182
2003,Richmond,23117
2003,Richmond,1614
2003,Richmond,1570
2003,Richmond,1881
2003,Richmond,12647
2003,Richmond,10546
2003,Richmond,600
2003,Richmond,751
2003,Richmond,750
2003,Richmond,15535
2003,Richmond,12571
2003,Richmond,1014
2003,Richmond,819
2003,Richmond,1131
2003,Richmond,18739
2003,Richmond,16205
2003,Richmond,806
2003,Richmond,738
2003,Richmond,990
2003,Richmond,7171
2003,Richmond,6273
2003,Richmond,255
2003,Cattaraugus,94
2003,Richmond,286
2003,Richmond,357
2003,Richmond,11568
2003,Richmond,9932
2003,Richmond,551
2003,Richmond,452
2003,Richmond,633
2003,Richmond,6877
2003,Richmond,6081
2003,Richmond,206
2003,Richmond,307
2003,Richmond,283
2003,Richmond,1943
2003,Richmond,1706
2003,Richmond,42
2003,Richmond,91
2003,Richmond,104
2003,Richmond,4934
2003,Richmond,4375
2003,Richmond,164
2003,Richmond,216
2003,Richmond,179
2003,Rest of State,11104373
2003,Rest of State,8899757
2003,Rest of State,974460
2003,Rest of State,377978
2003,Rest of State,852178
2003,Rest of State,5432849
2003,Rest of State,4325813
2003,Rest of State,476137
2003,Rest of State,186526
2003,Rest of State,444373
2003,Rest of State,5671524
2003,Rest of State,4573944
2003,Rest of State,498323
2003,Rest of State,191452
2003,Rest of State,407805
2003,Rest of State,128626
2003,Rest of State,94560
2003,Rest of State,15034
2003,Rest of State,4471
2003,Rest of State,14561
2003,Rest of State,65679
2003,Rest of State,48252
2003,Rest of State,7809
2003,Rest of State,2283
2003,Rest of State,7335
2003,Rest of State,62947
2003,Rest of State,46308
2003,Rest of State,7225
2003,Rest of State,2188
2003,Rest of State,7226
2003,Rest of State,1228665
2003,Rest of State,908856
2003,Rest of State,139445
2003,Rest of State,46020
2003,Rest of State,134344
2003,Rest of State,627835
2003,Rest of State,465249
2003,Rest of State,70889
2003,Rest of State,23050
2003,Rest of State,68647
2003,Rest of State,600830
2003,Rest of State,443607
2003,Rest of State,68556
2003,Rest of State,22970
2003,Rest of State,65697
2003,Rest of State,1577896
2003,Rest of State,1204300
2003,Rest of State,176122
2003,Rest of State,57220
2003,Rest of State,140254
2003,Rest of State,811189
2003,Rest of State,618687
2003,Rest of State,90360
2003,Rest of State,29359
2003,Rest of State,72783
2003,Rest of State,766707
2003,Rest of State,585613
2003,Rest of State,85762
2003,Rest of State,27861
2003,Rest of State,67471
2003,Rest of State,756237
2003,Rest of State,559236
2003,Rest of State,80524
2003,Rest of State,33026
2003,Rest of State,83451
2003,Rest of State,392551
2003,Rest of State,286771
2003,Rest of State,41915
2003,Rest of State,17114
2003,Rest of State,46751
2003,Rest of State,363686
2003,Rest of State,272465
2003,Rest of State,38609
2003,Rest of State,15912
2003,Rest of State,36700
2003,Rest of State,1340217
2003,Rest of State,970658
2003,Rest of State,138125
2003,Rest of State,67432
2003,Rest of State,164002
2003,Rest of State,677649
2003,Rest of State,483092
2003,Rest of State,69889
2003,Rest of State,33556
2003,Rest of State,91112
2003,Rest of State,662568
2003,Rest of State,487566
2003,Rest of State,68236
2003,Rest of State,33876
2003,Rest of State,72890
2003,Rest of State,1744067
