Chenango,2009,42,26,39,213
Clinton,2009,95,51,68,401
Columbia,2009,31,62,117,258
Cortland,2009,37,32,28,264
Delaware,2009,28,39,35,229
Dutchess,2009,173,191,342,1248
Erie,2009,1436,457,3316,2742
Essex,2009,29,31,25,175
Franklin,2009,71,42,46,230
Fulton,2009,42,34,27,276
Genesee,2009,50,70,66,371
Greene,2009,63,62,105,359
Hamilton,2009,1,5,6,30
Herkimer,2009,13,41,42,267
Jefferson,2009,101,62,113,614
Kings,2009,6703,188,25959,2135
Lewis,2009,14,15,14,108
Livingston,2009,34,58,62,214
Madison,2009,14,17,56,296
Monroe,2009,676,444,1128,2047
Montgomery,2009,63,25,38,177
Nassau,2009,919,268,1602,2777
New York,2009,6062,159,17020,2032
Niagara,2009,243,166,457,925
Oneida,2009,239,63,358,936
Onondaga,2009,479,185,835,1738
Ontario,2009,148,80,110,314
Orange,2009,445,196,1097,1280
Orleans,2009,59,28,32,121
Oswego,2009,79,86,81,611
Otsego,2009,54,53,81,371
Putnam,2009,77,51,123,491
Queens,2009,2612,251,9582,2920
Rensselaer,2009,165,56,204,483
Richmond,2009,1036,13,2457,422
Rockland,2009,297,130,273,771
Saratoga,2009,101,127,208,919
Schenectady,2009,174,73,161,345
Schoharie,2009,9,26,36,190
Schuyler,2009,22,25,11,74
Seneca,2009,17,28,20,151
Steuben,2009,81,66,64,308
St. Lawrence,2009,109,73,75,526
Suffolk,2009,940,543,3313,3775
Sullivan,2009,67,79,183,359
Tioga,2009,14,44,30,162
Tompkins,2009,33,44,60,301
Ulster,2009,171,153,358,1076
Unknown-NonNYS,2009,7,0,3,6
Warren,2009,86,71,99,410
Washington,2009,32,44,36,237
Wayne,2009,86,77,82,320
Westchester,2009,1013,240,2145,2280
Wyoming,2009,18,33,20,180
Yates,2009,11,25,12,88
Albany,2008,486,135,823,1251
Allegany,2008,22,41,26,258
Bronx,2008,8975,133,23683,1294
Broome,2008,270,96,297,581
Cattaraugus,2008,53,77,65,355
Cayuga,2008,64,35,28,182
Chautauqua,2008,212,128,142,709
Chemung,2008,70,95,86,345
Chenango,2008,12,22,34,202
Clinton,2008,94,63,63,427
Columbia,2008,48,38,116,237
Cortland,2008,25,38,25,239
Delaware,2008,40,39,33,236
Dutchess,2008,168,226,308,1396
Erie,2008,1652,503,3612,2758
Essex,2008,22,47,22,237
Franklin,2008,81,39,54,247
Fulton,2008,43,32,29,243
Genesee,2008,24,66,70,312
Greene,2008,39,39,114,333
Hamilton,2008,1,3,4,22
Herkimer,2008,31,44,32,286
Jefferson,2008,92,66,91,527
Kings,2008,7828,201,22857,2184
Lewis,2008,21,18,12,79
Livingston,2008,13,41,35,272
Madison,2008,21,16,45,323
Monroe,2008,818,481,1152,2150
Montgomery,2008,25,42,43,199
Nassau,2008,941,340,1615,3049
New York,2008,6944,148,16052,2144
Niagara,2008,215,166,476,972
Oneida,2008,261,70,347,943
Onondaga,2008,575,207,861,1535
Ontario,2008,101,89,120,364
Orange,2008,478,226,948,1300
