Washington,2011,1133,291,842
Wayne,2011,1695,515,1180
Westchester,2011,16078,4981,11097
Wyoming,2011,728,241,487
Yates,2011,419,120,299
Albany,2010,8417,2664,5753
Allegany,2010,1161,305,856
Bronx,2010,79317,19023,60294
Broome,2010,5003,1351,3652
Cattaraugus,2010,1765,446,1319
Cayuga,2010,1450,406,1044
Chautauqua,2010,3512,866,2646
Chemung,2010,2016,527,1489
Chenango,2010,1043,276,767
Clinton,2010,1915,524,1391
Columbia,2010,1422,328,1094
Cortland,2010,1202,333,869
Delaware,2010,962,220,742
Dutchess,2010,5600,1655,3945
Erie,2010,25026,7771,17255
Essex,2010,827,218,609
Franklin,2010,1250,372,878
Fulton,2010,1168,365,803
Genesee,2010,1351,315,1036
Greene,2010,1407,402,1005
Hamilton,2010,93,19,74
Herkimer,2010,1224,264,960
Jefferson,2010,2824,713,2111
Kings,2010,87142,24594,62548
Lewis,2010,368,115,253
Livingston,2010,1110,270,840
Madison,2010,1150,245,905
Monroe,2010,17517,4734,12783
Montgomery,2010,1093,323,770
Nassau,2010,17687,5833,11854
New York,2010,80868,20419,60449
Niagara,2010,5806,1725,4081
Oneida,2010,5275,1240,4035
Onondaga,2010,10266,3483,6783
Ontario,2010,2107,583,1524
Orange,2010,9136,2272,6864
Orleans,2010,838,297,541
Oswego,2010,2609,710,1899
Otsego,2010,1603,447,1156
Putnam,2010,1561,357,1204
Queens,2010,54172,16186,37986
Rensselaer,2010,3429,1073,2356
Richmond,2010,10900,3337,7563
Rockland,2010,4356,1296,3060
Saratoga,2010,3646,887,2759
Schenectady,2010,4153,1270,2883
Schoharie,2010,618,138,480
Schuyler,2010,357,98,259
Seneca,2010,689,184,505
Steuben,2010,1729,499,1230
St. Lawrence,2010,2421,687,1734
Suffolk,2010,24024,5992,18032
Sullivan,2010,2359,692,1667
Tioga,2010,843,234,609
Tompkins,2010,1505,326,1179
Ulster,2010,5100,1241,3859
Unknown-NonNYS,2010,147,103,44
Warren,2010,2099,534,1565
Washington,2010,1266,368,898
Wayne,2010,1705,475,1230
Westchester,2010,15924,4872,11052
Wyoming,2010,691,247,444
Yates,2010,388,105,283
Albany,2009,8746,2721,6025
Allegany,2009,1196,319,877
Bronx,2009,80078,20420,59658
Broome,2009,5027,1387,3640
Cattaraugus,2009,1839,456,1383
Cayuga,2009,1406,410,996
Chautauqua,2009,3600,861,2739
Chemung,2009,2213,517,1696
Chenango,2009,1050,242,808
Clinton,2009,1867,524,1343
Columbia,2009,1368,376,992
Cortland,2009,1251,364,887
Delaware,2009,959,223,736
Dutchess,2009,5497,1476,4021
Erie,2009,25466,7867,17599
Essex,2009,771,202,569
Franklin,2009,1233,348,885
Fulton,2009,1274,331,943
Genesee,2009,1513,408,1105
Greene,2009,1491,394,1097
Hamilton,2009,54,8,46
Herkimer,2009,1204,227,977
Jefferson,2009,2910,686,2224
Kings,2009,87343,25355,61988
Lewis,2009,412,111,301
Livingston,2009,1101,246,855
Madison,2009,1276,259,1017
Monroe,2009,16461,4398,12063
Montgomery,2009,1060,281,779
Nassau,2009,17468,5740,11728
New York,2009,81210,22154,59056
Niagara,2009,5959,1692,4267
Oneida,2009,5675,1268,4407
Onondaga,2009,10790,3415,7375
Ontario,2009,2081,594,1487
Orange,2009,9022,2251,6771
Orleans,2009,792,277,515
Oswego,2009,2654,678,1976
Otsego,2009,1440,392,1048
Putnam,2009,1461,330,1131
Queens,2009,52428,15767,36661
Rensselaer,2009,3287,1001,2286
Richmond,2009,10625,3435,7190
Rockland,2009,4417,1375,3042
Saratoga,2009,3831,879,2952
Schenectady,2009,3868,1097,2771
Schoharie,2009,695,140,555
Schuyler,2009,327,104,223
Seneca,2009,732,186,546
Steuben,2009,1767,510,1257
St. Lawrence,2009,2485,721,1764
Suffolk,2009,23891,6363,17528
Sullivan,2009,2023,576,1447
Tioga,2009,809,209,600
Tompkins,2009,1501,348,1153
Ulster,2009,4771,1128,3643
Unknown-NonNYS,2009,111,60,51
Warren,2009,2164,529,1635
Washington,2009,1239,320,919
Wayne,2009,1821,524,1297
Westchester,2009,16485,4888,11597
Wyoming,2009,667,176,491
Yates,2009,388,96,292
Albany,2008,8730,2685,6045
Allegany,2008,1182,272,910
Bronx,2008,77648,20595,57053
Broome,2008,5157,1456,3701
Cattaraugus,2008,2008,512,1496
Cayuga,2008,1324,431,893
Chautauqua,2008,3646,933,2713
Chemung,2008,2164,563,1601
Chenango,2008,975,194,781
Clinton,2008,2016,571,1445
Columbia,2008,1391,371,1020
Cortland,2008,1206,303,903
Delaware,2008,1050,275,775
Dutchess,2008,5439,1534,3905
Erie,2008,25332,7879,17453
Essex,2008,916,220,696
Franklin,2008,1268,364,904
Fulton,2008,1195,331,864
Genesee,2008,1357,375,982
Greene,2008,1381,385,996
Hamilton,2008,66,17,49
Herkimer,2008,1265,315,950
Jefferson,2008,2608,611,1997
Kings,2008,83628,27185,56443
Lewis,2008,385,134,251
Livingston,2008,1162,257,905
Madison,2008,1309,322,987
Monroe,2008,16030,4432,11598
Montgomery,2008,1036,252,784
Nassau,2008,16739,5549,11190
New York,2008,80668,23468,57200
Niagara,2008,5784,1646,4138
Oneida,2008,5399,1305,4094
Onondaga,2008,10539,3487,7052
Ontario,2008,2062,613,1449
Orange,2008,8474,2318,6156
Orleans,2008,707,217,490
Oswego,2008,2632,714,1918
Otsego,2008,1302,400,902
Putnam,2008,1594,390,1204
Queens,2008,51778,16155,35623
Rensselaer,2008,3182,955,2227
Richmond,2008,11729,3499,8230
Rockland,2008,4508,1522,2986
Saratoga,2008,3505,842,2663
Schenectady,2008,3639,1095,2544
Schoharie,2008,669,146,523
Schuyler,2008,329,80,249
Seneca,2008,745,218,527
Steuben,2008,1924,570,1354
St. Lawrence,2008,2502,687,1815
Suffolk,2008,23436,6248,17188
Sullivan,2008,2110,647,1463
Tioga,2008,753,201,552
Tompkins,2008,1591,382,1209
Ulster,2008,4501,1147,3354
Unknown-NonNYS,2008,98,61,37
Warren,2008,2210,575,1635
Washington,2008,1242,319,923
Wayne,2008,1837,530,1307
Westchester,2008,17013,5139,11874
Wyoming,2008,747,231,516
Yates,2008,319,100,219
Albany,2007,9603,2918,6685
Allegany,2007,1119,265,854
Bronx,2007,79129,21660,57469
Broome,2007,5089,1521,3568
Cattaraugus,2007,1971,426,1545
Cayuga,2007,1316,369,947
Chautauqua,2007,3424,938,2486
Chemung,2007,2169,536,1633
Chenango,2007,1016,216,800
Clinton,2007,1949,560,1389
Columbia,2007,1371,329,1042
Cortland,2007,1208,293,915
Delaware,2007,1046,229,817
Dutchess,2007,5296,1384,3912
Erie,2007,24608,7774,16834
Essex,2007,954,217,737
Franklin,2007,1168,316,852
Fulton,2007,1165,279,886
Genesee,2007,1236,341,895
Greene,2007,1321,380,941
Hamilton,2007,89,21,68
Herkimer,2007,1343,283,1060
Jefferson,2007,2403,576,1827
Kings,2007,84791,28013,56778
Lewis,2007,411,139,272
Livingston,2007,1327,294,1033
Madison,2007,1210,275,935
Monroe,2007,14881,4151,10730
Montgomery,2007,1065,287,778
Nassau,2007,16271,5496,10775
New York,2007,82450,24597,57853
Niagara,2007,5530,1597,3933
Oneida,2007,5283,1273,4010
Onondaga,2007,10468,3540,6928
Ontario,2007,1954,497,1457
Orange,2007,8801,2438,6363
Orleans,2007,756,235,521
Oswego,2007,2145,615,1530
Otsego,2007,1250,380,870
Putnam,2007,1330,300,1030
Queens,2007,51100,16760,34340
Rensselaer,2007,3250,969,2281
Richmond,2007,9620,3205,6415
Rockland,2007,4407,1468,2939
Saratoga,2007,3541,848,2693
Schenectady,2007,3662,1105,2557
Schoharie,2007,569,132,437
Schuyler,2007,360,99,261
Seneca,2007,662,147,515
Steuben,2007,2085,607,1478
St. Lawrence,2007,2512,633,1879
Suffolk,2007,23556,6769,16787
Sullivan,2007,2201,665,1536
Tioga,2007,773,199,574
